NAME	TITLE	SCORE	
TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	0.42915547	
GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	0.4288165	
FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	0.42820808	
SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]	0.42632174	
SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	0.42424077	
TPPP3	tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162]	0.42376286	
SPRR2A	small proline rich protein 2A [Source:HGNC Symbol;Acc:HGNC:11261]	0.41793078	
FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	0.4134135	
ANXA8L1	annexin A8 like 1 [Source:HGNC Symbol;Acc:HGNC:23334]	0.41094762	
ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]"	0.4080863	
CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	0.4080436	
ACOT1	acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]	0.4062178	
TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	0.40561378	
MARCHF1	membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]	0.39741316	
CCL23	C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]	0.397394	
TMPRSS5	transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908]	0.39356306	
EHF	ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]	0.39261255	
TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	0.3917081	
PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	0.38975373	
PLLP	plasmolipin [Source:HGNC Symbol;Acc:HGNC:18553]	0.38702175	
OCIAD2	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]	0.3864568	
PTPRVP	"protein tyrosine phosphatase receptor type V, pseudogene [Source:HGNC Symbol;Acc:HGNC:13421]"	0.3862953	
PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	0.38558584	
GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	0.38415146	
ITM2B	integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]	0.38250154	
G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	0.3814568	
CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	0.3814064	
C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	0.37967426	
CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	0.37856767	
NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	0.37807384	
DQX1	DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]	0.37345093	
CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	0.37328422	
SLC7A3	solute carrier family 7 member 3 [Source:HGNC Symbol;Acc:HGNC:11061]	0.3728229	
UGT1A1	UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]	0.3724856	
UGT1A3	UDP glucuronosyltransferase family 1 member A3 [Source:HGNC Symbol;Acc:HGNC:12535]	0.37203884	
UGT1A4	UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]	0.37073505	
UGT1A6	UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538]	0.37060326	
S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	0.3691079	
UGT1A10	UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531]	0.3690507	
GAPT	"GRB2 binding adaptor protein, transmembrane [Source:HGNC Symbol;Acc:HGNC:26588]"	0.36893052	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	0.36857343	
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	0.36833352	
SLC40A1	solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	0.36808434	
CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	0.3679053	
UGT1A8	UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540]	0.36753145	
SLC13A4	solute carrier family 13 member 4 [Source:HGNC Symbol;Acc:HGNC:15827]	0.36745727	
UGT1A7	UDP glucuronosyltransferase family 1 member A7 [Source:HGNC Symbol;Acc:HGNC:12539]	0.36740825	
ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	0.36385128	
ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454]	0.36329436	
HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	0.3612587	
PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	0.36050135	
RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	0.36005107	
H1-2	"H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]"	0.3598573	
LEFTY1	left-right determination factor 1 [Source:HGNC Symbol;Acc:HGNC:6552]	0.35820353	
STMN2	stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]	0.3556127	
RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	0.3552364	
TAC3	tachykinin precursor 3 [Source:HGNC Symbol;Acc:HGNC:11521]	0.35344195	
FCGR2A	Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	0.34900606	
EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	0.3485979	
PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	0.34735128	
PDYN	prodynorphin [Source:HGNC Symbol;Acc:HGNC:8820]	0.346398	
HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	0.34523705	
H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	0.34456056	
GKN2	gastrokine 2 [Source:HGNC Symbol;Acc:HGNC:24588]	0.34427413	
CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	0.3441823	
ID4	"inhibitor of DNA binding 4, HLH protein [Source:HGNC Symbol;Acc:HGNC:5363]"	0.34172773	
MS4A4A	membrane spanning 4-domains A4A [Source:HGNC Symbol;Acc:HGNC:13371]	0.3403278	
BGLAP	bone gamma-carboxyglutamate protein [Source:HGNC Symbol;Acc:HGNC:1043]	0.33991143	
CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	0.33933607	
VPS35L	VPS35 endosomal protein sorting factor like [Source:HGNC Symbol;Acc:HGNC:24641]	0.33245865	
MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	0.33164328	
CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	0.32969654	
CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	0.32928643	
NOA1	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	0.3265124	
PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	0.32603285	
ADH7	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]"	0.3229139	
CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	0.32086185	
SLURP1	secreted LY6/PLAUR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18746]	0.3208142	
ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	0.319029	
PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	0.3189972	
MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	0.31845868	
UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	0.3178976	
MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	0.31598297	
GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	0.31580505	
ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	0.31391767	
FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	0.31334034	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	0.3102699	
FCGBP	Fc fragment of IgG binding protein [Source:HGNC Symbol;Acc:HGNC:13572]	0.30909497	
GSDMD	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]	0.30771032	
LRRC26	leucine rich repeat containing 26 [Source:HGNC Symbol;Acc:HGNC:31409]	0.30642632	
PBLD	phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]	0.30634838	
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog [Source:HGNC Symbol;Acc:HGNC:29452]	0.3057222	
H2BC13	H2B clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4748]	0.30520985	
ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	0.3037871	
TGM3	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	0.3022784	
TMEM158	transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293]	0.30160248	
CYTL1	cytokine like 1 [Source:HGNC Symbol;Acc:HGNC:24435]	0.3015114	
IDI2	isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487]	0.30151135	
TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	0.30081892	
ACTG2	"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"	0.29911935	
PTPMT1	protein tyrosine phosphatase mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:26965]	0.29911706	
FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	0.29552096	
AGL	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"	0.29551166	
RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	0.29439282	
CNFN	cornifelin [Source:HGNC Symbol;Acc:HGNC:30183]	0.2939615	
CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	0.29357228	
CLEC3B	C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]	0.29323977	
ADGRE1	adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]	0.2912625	
KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	0.29007047	
CLEC6A	C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]	0.28834778	
GNGT2	G protein subunit gamma transducin 2 [Source:HGNC Symbol;Acc:HGNC:4412]	0.28625217	
CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	0.28484014	
CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	0.28423795	
ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	0.28353524	
THSD1	thrombospondin type 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17754]	0.28293476	
KPNA7	karyopherin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:21839]	0.28043732	
CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	0.27992198	
RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	0.2797993	
CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	0.27877492	
RAMP3	receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845]	0.27536318	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	0.2748394	
HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	0.2741049	
GNGT1	G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]	0.26934534	
FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	0.26909783	
GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	0.26875347	
IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	0.2683746	
SLC16A11	solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]	0.26522377	
PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	0.26287076	
RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	0.26069504	
TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	0.26004815	
MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	0.25936466	
MT-RNR1	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	0.25773093	
CLEC4D	C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]	0.2571139	
CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	0.2561489	
RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	0.2552458	
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	0.25426266	
LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	0.25365046	
LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	0.2536296	
AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	0.25276124	
TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	0.25072676	
CENPX	centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]	0.24993639	
XIST	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]	0.2493852	
RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	0.24525957	
TPH1	tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]	0.2449982	
RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	0.24492486	
DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	0.2447539	
DMP1	dentin matrix acidic phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:2932]	0.24279647	
UTP11	UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]	0.24258657	
NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	0.24238938	
CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	0.24169123	
RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	0.23745076	
CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	0.23413678	
GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	0.23405117	
COPS9	COP9 signalosome subunit 9 [Source:HGNC Symbol;Acc:HGNC:21314]	0.23131351	
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	0.23048674	
AVPR2	arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]	0.22900276	
SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	0.22776578	
KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	0.22773083	
MICOS13	mitochondrial contact site and cristae organizing system subunit 13 [Source:HGNC Symbol;Acc:HGNC:33702]	0.22742134	
HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	0.22630619	
RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	0.22600651	
DMAC1	distal membrane arm assembly complex 1 [Source:HGNC Symbol;Acc:HGNC:30536]	0.22600208	
CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	0.22468384	
CES4A	carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]	0.22067012	
TPT1	"tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]"	0.21854186	
MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	0.21678624	
TCF15	transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11627]	0.2148549	
S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	0.21373485	
KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	0.20841233	
CIAO2B	cytosolic iron-sulfur assembly component 2B [Source:HGNC Symbol;Acc:HGNC:24261]	0.20794837	
CRYAA2	crystallin alpha A2 [Source:HGNC Symbol;Acc:HGNC:51901]	0.20759976	
NIBAN2	niban apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:25282]	0.2058589	
MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	0.20535798	
SEPTIN11	septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]	0.20498733	
SNED1	"sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]"	0.20491944	
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	0.2032586	
TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	0.2024816	
MAL	"mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]"	0.20017524	
RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	0.19772318	
CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	0.19746707	
CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	0.1967775	
MIAT	myocardial infarction associated transcript [Source:HGNC Symbol;Acc:HGNC:33425]	0.196571	
STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	0.19394925	
RPL32	ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:10336]	0.19260351	
RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	0.19232543	
GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	0.19201174	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	0.19126405	
SLC6A16	solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	0.19052611	
PTMA	prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]	0.18934187	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	0.18926752	
IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	0.18869545	
MEP1A	meprin A subunit alpha [Source:HGNC Symbol;Acc:HGNC:7015]	0.18818697	
LY6H	lymphocyte antigen 6 family member H [Source:HGNC Symbol;Acc:HGNC:6728]	0.18761659	
FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	0.18445322	
CCN3	cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]	0.18153393	
PAM16	presequence translocase associated motor 16 [Source:HGNC Symbol;Acc:HGNC:29679]	0.1808101	
MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	0.17911649	
C15orf48	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]	0.17906973	
GNG10	G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]	0.17895354	
PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	0.17722727	
ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	0.1768463	
GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	0.17673576	
RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	0.17564973	
IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	0.1733506	
RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	0.17314166	
MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	0.17313334	
REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	0.17289327	
CLDN5	claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]	0.17255113	
PRORP	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	0.17253862	
DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	0.17031924	
FDX2	ferredoxin 2 [Source:HGNC Symbol;Acc:HGNC:30546]	0.16969661	
CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	0.16967006	
LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	0.1686696	
NSD3	nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]	0.16765474	
PLA2G4D	phospholipase A2 group IVD [Source:HGNC Symbol;Acc:HGNC:30038]	0.16679382	
AP1S2	adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]	0.16600008	
MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	0.16502778	
HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	0.16476157	
IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	0.16471955	
MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	0.16413413	
CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	0.16375296	
NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	0.15955277	
ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	0.15952419	
KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	0.1592614	
NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]	0.15723023	
RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	0.15681472	
ANGPTL7	angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]	0.15677604	
FMC1-LUC7L2	FMC1-LUC7L2 readthrough [Source:HGNC Symbol;Acc:HGNC:44671]	0.15549782	
KCNK2	potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]	0.15413304	
COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	0.15371893	
RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	0.15214366	
PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	0.15066017	
FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	0.14992596	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	0.1489661	
EEF1AKMT2	EEF1A lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33787]	0.14864229	
SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	0.14831242	
H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	0.14821434	
AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	0.14769177	
C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	0.14755741	
MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	0.14576444	
KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	0.14451343	
SLC22A14	solute carrier family 22 member 14 [Source:HGNC Symbol;Acc:HGNC:8495]	0.1437633	
FRY	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	0.14068	
RETREG1	reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]	0.14054829	
