ENSMUSG00000096931,Gm26656
ENSMUSG00000096941,Gm26720
ENSMUSG00000096944,Gm26722
ENSMUSG00000096946,Fmr1os
ENSMUSG00000096947,Gm26723
ENSMUSG00000096954,Gdap10
ENSMUSG00000096958,Gm26573
ENSMUSG00000096972,Gm26883
ENSMUSG00000096975,Gm16386
ENSMUSG00000096976,Gm26882
ENSMUSG00000096980,Gm26526
ENSMUSG00000096983,2010015M23Rik
ENSMUSG00000096987,Gm26525
ENSMUSG00000096990,Gm26790
ENSMUSG00000096996,Gm26792
ENSMUSG00000097013,Gm26710
ENSMUSG00000097014,Gm26706
ENSMUSG00000097019,Gm26663
ENSMUSG00000097020,Gm26613
ENSMUSG00000097026,Gm26786
ENSMUSG00000097033,Gm26819
ENSMUSG00000097038,Gm26821
ENSMUSG00000097045,Gm26641
ENSMUSG00000097051,Gm26836
ENSMUSG00000097056,Gm4262
ENSMUSG00000097059,Fam120aos
ENSMUSG00000097062,Gm17586
ENSMUSG00000097065,A630075F10Rik
ENSMUSG00000097066,Platr2
ENSMUSG00000097088,Gm26615
ENSMUSG00000097103,Gm2885
ENSMUSG00000097118,Gm17514
ENSMUSG00000097122,Gm26624
ENSMUSG00000097123,Gm6297
ENSMUSG00000097128,Gm26884
ENSMUSG00000097131,D230017M19Rik
ENSMUSG00000097135,4932430I15Rik
ENSMUSG00000097136,Gm26772
ENSMUSG00000097138,Gm26625
ENSMUSG00000097151,Gm26514
ENSMUSG00000097152,Gm26515
ENSMUSG00000097158,Gm26516
ENSMUSG00000097159,Gm26517
ENSMUSG00000097168,C230088H06Rik
ENSMUSG00000097172,4930444M15Rik
ENSMUSG00000097173,Gm26829
ENSMUSG00000097176,Gm26830
ENSMUSG00000097193,Gm26664
ENSMUSG00000097197,9530027J09Rik
ENSMUSG00000097206,Gm26699
ENSMUSG00000097208,Gm26698
ENSMUSG00000097213,Gm26745
ENSMUSG00000097219,Gm26551
ENSMUSG00000097230,Gm26853
ENSMUSG00000097234,Gm26518
ENSMUSG00000097235,Gm17250
ENSMUSG00000097236,4831440E17Rik
ENSMUSG00000097242,Gm16907
ENSMUSG00000097243,Gm26908
ENSMUSG00000097246,Gm26890
ENSMUSG00000097249,Gm26889
ENSMUSG00000097257,Gm26768
ENSMUSG00000097258,Gm26767
ENSMUSG00000097263,Gm26804
ENSMUSG00000097272,Gm26649
ENSMUSG00000097284,4930480K23Rik
ENSMUSG00000097285,Gm26683
ENSMUSG00000097289,2010300F17Rik
ENSMUSG00000097294,Gm26888
ENSMUSG00000097300,Gm26835
ENSMUSG00000097312,Gm26870
ENSMUSG00000097317,Gm17281
ENSMUSG00000097329,4931403G20Rik
ENSMUSG00000097334,2700012I20Rik
ENSMUSG00000097335,Gm26563
ENSMUSG00000097337,Gm26606
ENSMUSG00000097340,Gm26617
ENSMUSG00000097345,AA543186
ENSMUSG00000097347,Gm17275
ENSMUSG00000097353,A430046D13Rik
ENSMUSG00000097358,Gm26773
ENSMUSG00000097364,Gm26719
ENSMUSG00000097367,Gm26718
ENSMUSG00000097369,Gm26545
ENSMUSG00000097376,Gm8705
ENSMUSG00000097377,Gm10822
ENSMUSG00000097380,Gm26816
ENSMUSG00000097390,Gm26785
ENSMUSG00000097410,Gm26668
ENSMUSG00000097417,Gm26669
ENSMUSG00000097420,Gm17575
ENSMUSG00000097422,Gm26521
ENSMUSG00000097423,Gm26522
ENSMUSG00000097444,Gm10489
ENSMUSG00000097454,Gm26892
ENSMUSG00000097457,2310031A07Rik
ENSMUSG00000097458,Gm26697
ENSMUSG00000097460,Gm26734
ENSMUSG00000097461,Gm26735
ENSMUSG00000097465,Gm16619
ENSMUSG00000097468,Mdrl
ENSMUSG00000097469,Gm26733
ENSMUSG00000097474,Gm26584
ENSMUSG00000097479,Gm26582
ENSMUSG00000097489,Gm26808
ENSMUSG00000097507,Gm26538
ENSMUSG00000097514,Gm17619
ENSMUSG00000097517,Gm26695
ENSMUSG00000097518,Gm26694
ENSMUSG00000097526,Gm26847
ENSMUSG00000097540,1700037F24Rik
ENSMUSG00000097542,Gm26751
ENSMUSG00000097544,Gm26750
ENSMUSG00000097551,Gm7976
ENSMUSG00000097553,4930455D15Rik
ENSMUSG00000097554,Gm26825
ENSMUSG00000097560,Gm26904
ENSMUSG00000097567,Gm26637
ENSMUSG00000097578,Gm26798
ENSMUSG00000097579,Gm26799
ENSMUSG00000097582,Gm26527
ENSMUSG00000097590,Gm26675
ENSMUSG00000097598,Gm26677
ENSMUSG00000097605,9430098F02Rik
ENSMUSG00000097614,Gm26508
ENSMUSG00000097625,Gm26561
ENSMUSG00000097632,4930552P12Rik
ENSMUSG00000097645,Gm26863
ENSMUSG00000097658,Gm16755
ENSMUSG00000097660,Gm26762
ENSMUSG00000097661,Gm26763
ENSMUSG00000097664,Gm26765
ENSMUSG00000097667,Gm26764
ENSMUSG00000097672,Gm26609
ENSMUSG00000097674,Gm26610
ENSMUSG00000097695,Gm26905
ENSMUSG00000097703,Gm26623
ENSMUSG00000097707,Gm26742
ENSMUSG00000097720,Gm26849
ENSMUSG00000097722,Gm26841
ENSMUSG00000097723,Gm26848
ENSMUSG00000097728,Gm26840
ENSMUSG00000097731,2700016F22Rik
ENSMUSG00000097732,D930048G16Rik
ENSMUSG00000097734,B930082K07Rik
ENSMUSG00000097737,Gm26530
ENSMUSG00000097747,Gm26534
ENSMUSG00000097751,Gm26690
ENSMUSG00000097753,Gm26689
ENSMUSG00000097757,Gm17518
ENSMUSG00000097764,Gm26635
ENSMUSG00000097769,Snhg4
ENSMUSG00000097770,Gm26776
ENSMUSG00000097775,4931440J10Rik
ENSMUSG00000097791,Gm17315
ENSMUSG00000097796,Gm16702
ENSMUSG00000097799,Gm26899
ENSMUSG00000097800,B230344G16Rik
ENSMUSG00000097811,2810425M01Rik
ENSMUSG00000097818,Gm26681
ENSMUSG00000097838,C530050E15Rik
ENSMUSG00000097839,Gm26909
ENSMUSG00000097859,Gm26601
ENSMUSG00000097860,Gm26857
ENSMUSG00000097861,Gm26858
ENSMUSG00000097867,Lppos
ENSMUSG00000097868,A330069E16Rik
ENSMUSG00000097879,Gm26869
ENSMUSG00000097889,Gm26541
ENSMUSG00000097912,6330403N20Rik
ENSMUSG00000097913,Gm26837
ENSMUSG00000097971,Gm26917
ENSMUSG00000098178,Gm42418
ENSMUSG00000098367,Gm27645
ENSMUSG00000098399,Gm27995
ENSMUSG00000098425,Gm24949
ENSMUSG00000098462,Gm27694
ENSMUSG00000098503,Gm27937
ENSMUSG00000098536,Gm27868
ENSMUSG00000098537,Gm27867
ENSMUSG00000098543,Gm27533
ENSMUSG00000098575,Gm27446
ENSMUSG00000098626,Gm27972
ENSMUSG00000098694,Gm27506
ENSMUSG00000098711,Gm28030
ENSMUSG00000098749,Gm27477
ENSMUSG00000098755,Gm27651
ENSMUSG00000098792,Gm27401
ENSMUSG00000098850,Gm27390
ENSMUSG00000098874,Gm27960
ENSMUSG00000098880,Gm27238
ENSMUSG00000098948,Gm27640
ENSMUSG00000098967,Gm27845
ENSMUSG00000098974,Gm27505
ENSMUSG00000098986,Gm28006
ENSMUSG00000099002,Gm25053
ENSMUSG00000099021,Rn7s1
ENSMUSG00000099024,Gm27457
ENSMUSG00000099081,Gm27624
ENSMUSG00000099088,Gm27920
ENSMUSG00000099112,Gm27406
ENSMUSG00000099189,Gm27875
ENSMUSG00000099192,Gm27373
ENSMUSG00000099211,Gm27684
ENSMUSG00000099250,Rn7s2
ENSMUSG00000099703,Gm28285
ENSMUSG00000100371,Gm29669
ENSMUSG00000100536,Gm28873
ENSMUSG00000100618,Gm29595
ENSMUSG00000100851,Gm28928
ENSMUSG00000101556,Gm28869
ENSMUSG00000101716,Gm12057
ENSMUSG00000102049,Zbed6
ENSMUSG00000102437,Gm38048
ENSMUSG00000104058,Etv3l
ENSMUSG00000104367,Gm38079
ENSMUSG00000104544,Gm32754
ENSMUSG00000104635,Gm44377
ENSMUSG00000104827,Gm24826
ENSMUSG00000104863,AC121821.1
ENSMUSG00000104953,Gm47308
ENSMUSG00000105001,Gm47275
ENSMUSG00000105072,Gm44335
ENSMUSG00000105109,Gm44297
ENSMUSG00000105145,Gm47299
ENSMUSG00000105232,Gm47284
ENSMUSG00000105238,Gm44357
ENSMUSG00000105288,Gm25820
ENSMUSG00000105354,D130017N08Rik
ENSMUSG00000105361,AY036118
ENSMUSG00000105383,Gm42641
ENSMUSG00000105415,Gm44364
ENSMUSG00000105580,Gm44454
ENSMUSG00000105610,Gm47313
ENSMUSG00000105788,Gm47295
ENSMUSG00000105874,Gm44344
ENSMUSG00000105884,Gm22711
ENSMUSG00000105911,Snora16a
ENSMUSG00000105918,Gm47278
ENSMUSG00000106091,Gm44370
ENSMUSG00000106106,CT010467.1
ENSMUSG00000106175,Gm44313
ENSMUSG00000106431,Gm44492
ENSMUSG00000106474,Gm47294
ENSMUSG00000106489,Gm23370
ENSMUSG00000106587,Gm47311
ENSMUSG00000107016,AC122464.1
ENSMUSG00000107169,Gm43796
ENSMUSG00000107494,Gm8239
ENSMUSG00000108434,Gm45768
ENSMUSG00000108569,Gm4593
ENSMUSG00000108595,AC161456.1
